species,species occurence frequency (pool),threatened,N_variance,P_variance,K_variance,NP_variance,NK_variance,KP_variance,N_median,P_median,K_median,NP_median,NK_median,KP_median
Carex riparia,58,No,8.53,0.49,42.93,0.17,0.19,0.12,14.74,1.84,16.63,7.73,0.77,9.19
Carex rostrata,411,No,12.79,0.5,48.13,0.23,0.33,0.5,14.17,1.15,9.63,12.46,1.37,9.39
Carex sempervirens,47,No,2.72,0.02,10.46,0.04,0.08,0.06,16.88,0.79,11.33,21.43,1.45,15.24
Carex spicata,17,No,9.41,0.25,16.27,0.06,0.02,0.06,13.46,2.35,21.54,5.71,0.59,9.63
Carex tomentosa,14,Yes,5.74,0.44,17.97,0.11,0.04,0.06,12.6,2.04,20.6,7.32,0.72,10.83
Carex vesicaria,88,No,11.03,0.45,29.51,0.16,0.24,0.3,14.88,1.69,10.92,8.8,1.41,6.3
Carlina acaulis,18,No,3.45,0.01,7.29,0.01,0.07,0.06,16.72,0.76,9.65,23.84,1.78,13.35
Centaurea jacea,244,No,12.64,0.53,43.09,0.34,0.39,0.42,14.66,1.08,11.08,12.75,1.35,9.74
Centaurea scabiosa,29,Yes,2.72,0.02,9.34,0.04,0.08,0.06,16.88,0.77,10.35,22.58,1.63,14.53
Cerastium fontanum,234,No,20.25,0.59,57.47,0.14,0.54,0.41,15.43,2.03,11.51,7.51,1.26,6.28
Chamaedaphne calyculata,46,Yes,10.96,0.04,19.48,0.1,0.23,0.33,11.1,0.48,7.74,23.75,1.53,16.07
Cicuta virosa,150,Yes,8.29,0.24,60.97,0.18,0.17,0.32,13.26,0.97,12.71,13.95,1.03,13.94
Cirsium arvense,107,No,19.24,0.79,65.49,0.14,0.37,0.38,12.74,2.01,15.95,6.53,0.78,8.81
Cirsium dissectum,24,Yes,17.09,0.09,19.13,0.07,0.33,0.28,13.37,0.75,9.44,17.98,1.5,10.77
Cirsium palustre,381,No,14.13,0.54,33.69,0.19,0.33,0.42,14.61,1.46,9.52,10.24,1.44,7.37
Cirsium rivulare,12,Yes,2.13,0.02,10.88,0.03,0.04,0.06,16.55,0.84,12.98,19.09,1.27,15.43
Cirsium tuberosum,51,Yes,5.11,0.02,10.27,0.06,0.11,0.05,16.76,0.79,11.7,21.2,1.39,15.11
Cirsium vulgare,16,No,4.43,0.35,35.21,0.09,0.16,0.26,12.6,1.95,18.61,7.14,0.73,10
Colchicum autumnale,32,Yes,2.95,0.11,15.57,0.07,0.1,0.07,17.04,0.83,11.84,20.74,1.37,15.26
Convallaria majalis,25,No,2.83,0.01,7.44,0.02,0.06,0.05,16.88,0.76,10.01,23.62,1.73,14.09
Convolvulus arvensis,10,No,11.57,0.14,24.74,0.09,0.03,0.05,15.65,2.39,21.64,6.36,0.63,8.67
Conyza canadensis,24,No,6.84,0.13,18.13,0.13,0.65,0.44,10.05,1.69,7.76,5.74,1.46,4.8
Crepis capillaris,36,No,12.03,0.33,64.39,0.11,0.65,0.58,11.04,1.81,11.2,6.6,0.85,7.14
Cynosurus cristatus,147,No,15.47,0.81,61.09,0.15,0.46,0.38,15.99,2.06,13.38,7.72,1.24,6.92
Dactylis glomerata,130,No,15.86,0.83,66.73,0.26,0.41,0.48,13.92,1.97,14.83,6.72,0.87,8.7
Dactylorhiza incarnata,195,Yes,7.95,0.25,52.33,0.18,0.17,0.31,13.26,0.89,11.58,14.7,1.11,13.28
