mrd,Rz,Treatment,dafs
-6.20726727935458,53,Sync2,11
-7.162168033009043,53,Sync2,13
-8.260599166455842,53,Sync2,15
-9.372295435087208,53,Sync2,18
-10.981282033958715,53,Sync2,20
-10.217308972437626,53,Sync2,22
-10.514533981102105,53,Sync2,25
-10.94736339185077,53,Sync2,27
-11.124921615748724,53,Sync2,29
-10.978828121334312,53,Sync2,32
-11.830738404909477,53,Sync2,34
0,57,Sync2,1
-2.5720895874924863,57,Sync2,4
-4.088752990471976,57,Sync2,6
-4.4329808517641265,57,Sync2,8
-5.852533892520719,57,Sync2,11
-6.682399149272434,57,Sync2,13
-7.154450467521189,57,Sync2,15
-7.046885849523965,57,Sync2,18
-8.178981937645817,57,Sync2,20
-7.362018232206814,57,Sync2,22
-7.310953695504044,57,Sync2,25
-7.74935431325359,57,Sync2,27
-7.625473954833188,57,Sync2,29
-7.6933981984385404,57,Sync2,32
-8.16120662267004,57,Sync2,34
-1.3716530965694775,130,Sync1,2
-3.171490314842705,130,Sync1,4
-5.771783254832991,130,Sync1,7
-6.946771258856959,130,Sync1,9
-7.037346194372419,130,Sync1,11
-7.489083670889855,130,Sync1,14
-8.883633606772534,130,Sync1,16
-8.727531331373537,130,Sync1,18
-8.597336423075959,130,Sync1,21
-8.644114500492538,130,Sync1,23
-9.188503587959294,130,Sync1,25
-9.259235372739449,130,Sync1,28
-10.992266254823049,130,Sync1,30
-10.037504438026703,130,Sync1,32
-10.524276202755456,130,Sync1,35
-11.276644073076724,130,Sync1,37
-11.74668526414075,130,Sync1,39
-12.514540072187485,130,Sync1,42
-13.231567010860886,130,Sync1,44
0,131,F-first,2
-1.3635768003395143,131,F-first,4
-4.3029932706089316,131,F-first,7
-5.153641695010316,131,F-first,9
-6.348109028052231,131,F-first,11
-5.839496310771198,131,F-first,14
-7.047006553015738,131,F-first,16
-7.338984442942344,131,F-first,18
-8.01774926610704,131,F-first,21
-8.240296285211512,131,F-first,23
-8.851022711826028,131,F-first,25
-8.686685883143312,131,F-first,28
-10.021702117289486,131,F-first,30
-9.040066703766271,131,F-first,32
-9.19511236910972,131,F-first,35
-9.721632555703074,131,F-first,37
-9.494967217966716,131,F-first,39
-9.8812797697972,131,F-first,42
-10.630792682029298,131,F-first,44
-1.4680050602811183,135,L-first,2
-2.9674279380785276,135,L-first,4
-4.888290311720147,135,L-first,7
-5.044277713616731,135,L-first,9
-5.398632473947071,135,L-first,11
-6.351066618904414,135,L-first,14
-7.399023967760435,135,L-first,16
-7.731115354149104,135,L-first,18
-9.243724082529154,135,L-first,21
-10.069162071409766,135,L-first,23
-11.094764491678822,135,L-first,25
-11.033685988702828,135,L-first,28
-11.999842529914575,135,L-first,30
-10.978225389407209,135,L-first,32
-10.658696740389953,135,L-first,35
-11.149581019559022,135,L-first,37
-10.861034876939424,135,L-first,39
-10.253021823957848,135,L-first,42
-10.788353215223534,135,L-first,44
0,136,G-first,2
0,136,G-first,4
-2.373048316374949,136,G-first,7
-3.0251996429407737,136,G-first,9
-3.486371894348681,136,G-first,11
-3.82592939248071,136,G-first,14
-4.791597494744906,136,G-first,16
-4.614601564761323,136,G-first,18
-5.011765327311012,136,G-first,21
-5.922603341124975,136,G-first,23
-6.469195209250442,136,G-first,25
-6.572112630378972,136,G-first,28
-8.067574267963655,136,G-first,30
-7.45748730455851,136,G-first,32
-7.698734759220503,136,G-first,35
-8.064688425108855,136,G-first,37
-8.364735627896573,136,G-first,39
-8.941033431849034,136,G-first,42
-9.81296664954116,136,G-first,44
